epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.105,6.76271,13.2793,8.4082,0,0,0,0,6.96724,10.8607,8.3302,2.27182e-05,2.27182e-05,2.27182e-05
2,33.0716,6.85578,12.7704,8.36705,0,0,0,0,6.95167,10.8636,8.30731,4.6518e-05,4.6518e-05,4.6518e-05
3,44.3456,6.86331,12.7852,8.31334,0,0,0,0,6.944,10.8388,8.31947,7.03171e-05,7.03171e-05,7.03171e-05
4,55.1903,6.94645,12.5682,8.29651,0,0,0,0,6.96056,10.8415,8.32761,9.41149e-05,9.41149e-05,9.41149e-05
5,65.868,6.79156,12.7499,8.195,0,0,0,0,6.94613,11.2238,8.3122,0.000117911,0.000117911,0.000117911
6,76.4925,6.9513,12.5587,8.15203,0,0,0,0,6.86832,12.3698,8.30074,0.000118989,0.000118989,0.000118989
7,87.2109,6.60406,12.5589,8.11922,0,0,0,0,6.85252,11.8643,8.22904,0.000118984,0.000118984,0.000118984
8,98.0094,6.5718,12.2767,8.05114,0.00101,6e-05,0.00051,0.00015,6.84753,10.836,8.22207,0.000118978,0.000118978,0.000118978
9,109.206,6.38988,12.2578,7.96671,6e-05,0.0005,4e-05,1e-05,6.73543,10.7374,8.13101,0.000118971,0.000118971,0.000118971
10,120.092,6.41908,12.2764,7.90357,6e-05,0.00061,3e-05,1e-05,6.73869,10.7687,8.17127,0.000118963,0.000118963,0.000118963
11,131.163,6.4283,12.1557,7.85617,5e-05,0.00067,3e-05,1e-05,6.72443,10.7267,8.08489,0.000118955,0.000118955,0.000118955
12,141.993,6.33169,12.2618,7.82694,3e-05,0.00072,2e-05,1e-05,6.71077,10.6624,8.06342,0.000118945,0.000118945,0.000118945
13,153.058,6.32457,12.2116,7.72452,4e-05,0.00078,3e-05,1e-05,6.69855,10.5792,8.05597,0.000118935,0.000118935,0.000118935
14,164.401,6.29942,12.1015,7.64846,5e-05,0.00067,3e-05,1e-05,6.69019,10.4432,7.98897,0.000118923,0.000118923,0.000118923
15,175.215,5.93529,12.0173,7.64878,3e-05,0.00067,2e-05,1e-05,6.70226,10.4548,7.90389,0.000118911,0.000118911,0.000118911
16,185.825,6.12087,11.9495,7.58716,2e-05,0.00055,1e-05,0,6.67112,10.5219,7.93476,0.000118898,0.000118898,0.000118898
17,196.521,6.09805,12.0405,7.59499,1e-05,0.00017,0,0,6.73055,10.5226,8.02292,0.000118884,0.000118884,0.000118884
18,207.537,6.02104,11.9245,7.52101,2e-05,0.00028,1e-05,0,6.71882,10.5217,8.01606,0.000118869,0.000118869,0.000118869
19,218.739,6.01689,11.6617,7.49474,3e-05,0.00083,3e-05,1e-05,6.64687,10.4343,7.91496,0.000118853,0.000118853,0.000118853
20,229.496,6.30281,11.7183,7.431,0.00179,0.00253,0.00137,0.00055,6.66025,10.3489,7.82299,0.000118836,0.000118836,0.000118836
21,239.527,5.95192,11.7242,7.3824,0.00421,0.0126,0.00622,0.00199,6.68524,10.336,7.80129,0.000118818,0.000118818,0.000118818
22,249.592,5.84836,11.7209,7.43576,0.00289,0.00415,0.00394,0.00112,6.6302,10.3724,7.78702,0.0001188,0.0001188,0.0001188
23,260.323,6.03383,11.6968,7.34074,1e-05,0.00055,1e-05,0,6.61577,10.4879,7.89895,0.00011878,0.00011878,0.00011878
24,271.088,5.79886,11.7822,7.26612,2e-05,0.0005,1e-05,0,6.63107,10.4972,7.8959,0.00011876,0.00011876,0.00011876
25,281.386,5.67863,11.6237,7.30377,4e-05,0.00055,2e-05,1e-05,6.58786,10.4065,7.795,0.000118739,0.000118739,0.000118739
26,291.785,5.70484,11.6678,7.28758,0.0012,0.01159,0.00524,0.00228,6.61383,10.3331,7.72663,0.000118716,0.000118716,0.000118716
27,302.129,5.66337,11.4348,7.20805,0.00106,0.01223,0.00347,0.00162,6.62441,10.3336,7.71409,0.000118693,0.000118693,0.000118693
28,312.384,5.84922,11.335,7.13062,0.00507,0.00851,0.00551,0.0021,6.67356,10.2984,7.75118,0.000118669,0.000118669,0.000118669
29,322.838,5.71974,11.5713,7.20561,0.0026,0.00718,0.00202,0.00054,6.71192,10.3427,7.76017,0.000118644,0.000118644,0.000118644
30,333.345,5.84275,11.3927,7.18387,0.00024,0.00384,0.00025,0.00013,6.68082,10.2774,7.77274,0.000118618,0.000118618,0.000118618
31,343.73,5.69263,11.4373,7.16445,0.00095,0.00567,0.00325,0.00144,6.50837,10.3102,7.64904,0.000118592,0.000118592,0.000118592
32,353.931,5.77272,11.4445,7.07167,0.00199,0.00529,0.00227,0.00156,6.51241,10.3218,7.68173,0.000118564,0.000118564,0.000118564
33,364.224,5.64807,11.24,7.06204,2e-05,0.00067,1e-05,0,6.48399,10.3942,7.75254,0.000118536,0.000118536,0.000118536
34,374.464,5.7914,11.3021,6.99184,3e-05,0.0005,2e-05,0,6.53055,10.3704,7.79518,0.000118506,0.000118506,0.000118506
35,385.505,5.74627,11.345,6.95348,3e-05,0.002,2e-05,1e-05,6.38245,10.2086,7.47548,0.000118476,0.000118476,0.000118476
36,396.164,5.73438,11.2105,6.95173,0.0008,0.01649,0.00456,0.00168,6.53429,10.1281,7.4077,0.000118444,0.000118444,0.000118444
37,406.566,5.54441,11.2803,6.95144,0.00027,0.01757,0.00424,0.0021,6.48218,10.2286,7.59998,0.000118412,0.000118412,0.000118412
38,416.851,5.57045,11.2738,6.88765,0.00057,0.0079,0.00309,0.00131,6.46199,10.2754,7.64969,0.000118379,0.000118379,0.000118379
39,427.251,5.77422,11.0467,6.93011,0.00209,0.00454,0.00361,0.00163,6.25485,10.2308,7.5097,0.000118345,0.000118345,0.000118345
40,437.646,5.63904,11.1891,6.946,6e-05,0.00161,5e-05,2e-05,6.21453,10.224,7.48562,0.000118311,0.000118311,0.000118311
41,447.846,5.43399,11.0405,6.81661,0.0003,0.00867,0.00295,0.0015,6.23484,10.1026,7.36726,0.000118275,0.000118275,0.000118275
42,458.071,5.48181,10.8371,6.78503,0.00017,0.02065,0.00359,0.0019,6.20407,10.1936,7.34922,0.000118238,0.000118238,0.000118238
43,468.363,5.64518,11.0686,6.78457,0.00028,0.00856,0.00296,0.00234,6.10006,10.1374,7.26986,0.000118201,0.000118201,0.000118201
44,479.092,5.64462,10.9266,6.77084,0.00053,0.01616,0.00327,0.00098,6.15845,10.0628,7.2909,0.000118162,0.000118162,0.000118162
45,490.191,5.69363,11.1699,6.76555,0.00033,0.01724,0.00337,0.00127,6.24581,10.1608,7.42128,0.000118123,0.000118123,0.000118123
46,501.523,5.73201,10.8874,6.7232,0.0018,0.00503,0.0035,0.00099,6.13896,9.92668,7.37931,0.000118083,0.000118083,0.000118083
47,512.517,5.61165,11.0828,6.72235,0.00029,0.01824,0.00346,0.00125,6.29891,9.88475,7.28958,0.000118042,0.000118042,0.000118042
48,523.723,5.56081,10.8358,6.67958,0.00016,0.02035,0.00331,0.00105,6.28863,10.0112,7.24701,0.000118,0.000118,0.000118
49,534.672,5.56914,10.9119,6.70447,0.00034,0.02138,0.00337,0.00224,6.10807,9.82684,7.12935,0.000117957,0.000117957,0.000117957
50,545.608,5.37714,10.986,6.62925,0.00076,0.01654,0.00336,0.00257,6.07395,9.76109,7.21098,0.000117913,0.000117913,0.000117913
51,556.259,5.2932,10.8377,6.5856,0.00023,0.01688,0.00323,0.00201,6.04953,9.78903,7.21758,0.000117868,0.000117868,0.000117868
52,567.427,5.41878,10.7823,6.60816,0.00022,0.02013,0.0033,0.00208,6.06214,9.77816,7.15657,0.000117823,0.000117823,0.000117823
53,578.728,5.49287,10.5879,6.50547,0.00022,0.02035,0.00333,0.00244,6.04691,9.80588,7.05375,0.000117776,0.000117776,0.000117776
54,589.913,5.34378,10.7946,6.59736,0.00139,0.01107,0.0035,0.00198,6.0913,9.76513,7.04744,0.000117729,0.000117729,0.000117729
55,601.087,5.4355,10.6675,6.57348,3e-05,0.00344,4e-05,1e-05,6.11064,9.81392,7.10308,0.000117681,0.000117681,0.000117681
56,611.773,5.53335,10.704,6.55416,7e-05,0.00277,8e-05,3e-05,6.06698,9.88286,7.18432,0.000117631,0.000117631,0.000117631
57,622.413,5.40238,10.5884,6.46181,0.00051,0.00623,0.00301,0.001,6.05224,9.91846,7.15508,0.000117581,0.000117581,0.000117581
58,633.001,5.30647,10.5055,6.42082,0.00045,0.01721,0.00318,0.0014,6.04252,9.85527,7.00423,0.00011753,0.00011753,0.00011753
59,643.612,5.44845,10.6047,6.49665,0.00064,0.01979,0.00326,0.0013,5.9928,9.69926,6.94145,0.000117479,0.000117479,0.000117479
60,654.207,5.37424,10.6127,6.33,0.00087,0.01951,0.00344,0.00121,6.06836,9.6723,7.01209,0.000117426,0.000117426,0.000117426
61,664.781,5.50243,10.6283,6.45778,0.00017,0.02188,0.00353,0.00132,5.99746,9.52068,6.92455,0.000117372,0.000117372,0.000117372
62,675.429,5.33916,10.4578,6.37437,8e-05,0.0198,0.00375,0.00122,6.11674,9.95743,7.13307,0.000117318,0.000117318,0.000117318
63,685.96,5.51979,10.5854,6.34501,0.00038,0.01696,0.00339,0.00102,6.21722,10.1134,7.29536,0.000117263,0.000117263,0.000117263
64,696.546,5.17917,10.5209,6.33306,0.0007,0.01239,0.0033,0.00108,6.12019,9.79983,7.11341,0.000117206,0.000117206,0.000117206
65,707.148,5.25374,10.6062,6.36999,0.00204,0.00598,0.0036,0.00183,6.25621,9.80112,7.21456,0.000117149,0.000117149,0.000117149
66,717.693,5.20609,10.5137,6.33151,0.00356,0.00559,0.0042,0.00134,6.05988,9.80033,7.10932,0.000117091,0.000117091,0.000117091
67,728.279,5.53693,10.4625,6.2839,0.00121,0.00537,0.00142,0.00086,6.06452,9.85138,7.11884,0.000117033,0.000117033,0.000117033
68,738.908,5.32828,10.5218,6.26925,3e-05,0.00183,3e-05,1e-05,6.16029,10.0555,7.27771,0.000116973,0.000116973,0.000116973
69,749.464,5.46681,10.5761,6.32666,0.00041,0.01735,0.00128,0.00071,6.20895,9.98953,7.26,0.000116912,0.000116912,0.000116912
70,760.154,5.39615,10.3752,6.29608,9e-05,0.02029,0.00349,0.00217,6.12729,9.78944,7.01657,0.000116851,0.000116851,0.000116851
71,770.822,5.34622,10.4409,6.37907,0.00018,0.02068,0.00332,0.002,6.1658,9.74273,6.98188,0.000116788,0.000116788,0.000116788
72,781.353,5.52035,10.3515,6.28659,0.00025,0.02182,0.00134,0.00067,6.10124,9.83165,6.90456,0.000116725,0.000116725,0.000116725
73,791.866,5.49275,10.3864,6.29774,0.00026,0.02002,0.0031,0.00068,6.09234,9.8796,6.97063,0.000116661,0.000116661,0.000116661
74,802.632,5.35696,10.6365,6.19852,0.00095,0.01401,0.00338,0.00104,6.10754,9.76605,7.04313,0.000116596,0.000116596,0.000116596
75,813.524,5.58815,10.3777,6.2787,0.00104,0.00481,0.0032,0.00124,6.4421,10.0625,7.32483,0.00011653,0.00011653,0.00011653
76,824.3,5.33039,10.4448,6.19499,0.00039,0.01345,0.00311,0.00137,6.20802,10.0401,7.18979,0.000116464,0.000116464,0.000116464
77,835.039,5.45253,10.513,6.29519,0.00083,0.00548,0.00177,0.00082,6.05383,9.68587,6.91405,0.000116396,0.000116396,0.000116396
78,845.868,5.27382,10.5068,6.24319,3e-05,0.00316,3e-05,1e-05,6.04512,9.44694,6.72713,0.000116328,0.000116328,0.000116328
79,856.906,5.33123,10.4236,6.23818,0.00417,0.01004,0.00458,0.00137,6.07287,9.32576,6.65383,0.000116258,0.000116258,0.000116258
80,867.892,5.40716,10.4519,6.20085,3e-05,0.00311,3e-05,1e-05,6.1028,9.39013,6.72603,0.000116188,0.000116188,0.000116188
81,878.712,5.48969,10.3324,6.24958,4e-05,0.00238,2e-05,1e-05,6.16084,9.45011,6.83982,0.000116117,0.000116117,0.000116117
82,889.453,5.33123,10.4435,6.18578,3e-05,0.00288,3e-05,1e-05,6.04433,9.39527,6.7356,0.000116045,0.000116045,0.000116045
83,900.129,5.33593,10.086,6.15656,0.00014,0.02143,0.0034,0.00158,6.01316,9.36794,6.70133,0.000115972,0.000115972,0.000115972
84,910.914,5.3454,10.3245,6.17242,0.00015,0.0216,0.00337,0.00211,6.01973,9.46333,6.7412,0.000115899,0.000115899,0.000115899
85,921.775,5.32948,10.2459,6.10086,7e-05,0.02116,0.00203,0.00066,6.05912,9.82056,6.91886,0.000115824,0.000115824,0.000115824
86,932.529,5.38024,10.3562,6.11051,8e-05,0.02105,0.00311,0.0015,6.20851,9.98068,7.08966,0.000115749,0.000115749,0.000115749
87,943.795,5.34888,10.3864,6.11432,0.00061,0.01433,0.00194,0.00158,5.97105,9.44125,6.74815,0.000115673,0.000115673,0.000115673
88,954.531,5.36691,10.4306,6.03237,2e-05,0.00222,1e-05,1e-05,6.0507,9.82078,7.0432,0.000115596,0.000115596,0.000115596
89,965.379,5.31223,10.2324,6.08852,0.00069,0.00815,0.00315,0.00129,6.1048,9.85969,7.0885,0.000115518,0.000115518,0.000115518
90,976.279,5.4066,10.3593,6.11158,0.00058,0.01445,0.00316,0.00151,6.10616,9.76122,7.0178,0.000115439,0.000115439,0.000115439
91,987.322,5.34336,10.2169,6.12963,0.00054,0.0087,0.00084,0.00056,5.988,9.50728,6.81704,0.000115359,0.000115359,0.000115359
92,998.53,5.1899,10.2897,5.99991,0.00048,0.00907,0.00407,0.00147,5.98507,9.63929,6.90091,0.000115279,0.000115279,0.000115279
93,1009.66,5.22525,10.3413,6.06061,0.0005,0.01121,0.00274,0.00107,5.9271,9.39927,6.68787,0.000115197,0.000115197,0.000115197
94,1020.54,5.3195,10.2873,6.11159,0.00033,0.0199,0.00309,0.00221,5.95056,9.22167,6.53315,0.000115115,0.000115115,0.000115115
95,1031.43,5.46431,10.2637,6.00937,0.00018,0.02251,0.00314,0.00221,6.02221,9.31707,6.60118,0.000115032,0.000115032,0.000115032
96,1042.38,5.45068,9.95023,6.04423,0.00016,0.02149,0.00167,0.00099,6.06815,9.47736,6.72077,0.000114948,0.000114948,0.000114948
97,1053.14,5.32117,10.0763,5.98736,0.00023,0.02137,0.00164,0.00104,6.03948,9.43998,6.7075,0.000114863,0.000114863,0.000114863
98,1064.02,5.12999,10.3445,6.00813,0.00036,0.00984,0.00297,0.00232,6.01231,9.32422,6.61332,0.000114778,0.000114778,0.000114778
99,1074.88,5.46846,10.2561,6.14566,0.00114,0.00612,0.00326,0.00119,6.1231,9.41227,6.71406,0.000114691,0.000114691,0.000114691
100,1085.5,5.34954,10.1563,6.0492,0.00096,0.00465,0.00314,0.00241,6.14827,9.61419,6.835,0.000114604,0.000114604,0.000114604
101,1096.38,5.52989,10.2128,6.01299,0.00018,0.02068,0.00378,0.00313,5.98017,9.28771,6.60938,0.000114516,0.000114516,0.000114516
102,1107.49,5.30314,10.215,6.04853,0.0001,0.0216,0.00224,0.00153,6.07258,9.49839,6.76514,0.000114427,0.000114427,0.000114427
103,1118.2,5.31433,10.2946,5.95487,9e-05,0.0211,0.00207,0.00082,6.13307,9.79104,6.92191,0.000114337,0.000114337,0.000114337
104,1129.03,5.36848,10.1987,6.03831,0.00013,0.02279,0.00229,0.00131,6.02572,9.48534,6.71031,0.000114247,0.000114247,0.000114247
105,1139.6,5.26403,10.2725,5.95686,0.00018,0.0229,0.00403,0.00244,6.02533,9.29819,6.55617,0.000114155,0.000114155,0.000114155
106,1150.39,5.16186,10.1276,5.9161,0.00021,0.02182,0.00308,0.0022,6.07353,9.12988,6.48944,0.000114063,0.000114063,0.000114063
107,1161.2,5.45525,10.2429,6.00096,0.00013,0.0216,0.00317,0.00227,6.05064,9.20171,6.55141,0.00011397,0.00011397,0.00011397
108,1172.06,5.25693,10.302,6.00736,0.00035,0.01286,0.00305,0.00162,6.02604,9.2654,6.58242,0.000113876,0.000113876,0.000113876
109,1182.8,5.25039,10.1686,6.03757,0.00035,0.01163,0.00305,0.00243,6.03627,9.1601,6.45599,0.000113781,0.000113781,0.000113781
110,1193.64,5.46264,10.4111,5.9736,0.00022,0.01693,0.00314,0.00251,6.09013,9.1693,6.48538,0.000113686,0.000113686,0.000113686
111,1204.52,5.33353,10.1899,5.99306,0.00017,0.01616,0.00325,0.00262,6.07065,9.39876,6.73251,0.000113589,0.000113589,0.000113589
112,1215.28,5.34415,9.94827,5.91573,0.0001,0.01991,0.00397,0.00311,6.08372,9.39274,6.65506,0.000113492,0.000113492,0.000113492
113,1226.04,5.43163,10.3949,6.01882,7e-05,0.02132,0.00237,0.00171,6.08363,9.44838,6.58316,0.000113394,0.000113394,0.000113394
114,1236.38,5.13751,10.1036,5.88548,0.0002,0.02037,0.00059,0.00043,6.12894,9.1704,6.50851,0.000113295,0.000113295,0.000113295
115,1247.09,5.17961,10.0825,5.90579,0.00056,0.01996,0.0044,0.00265,6.04771,9.27579,6.5445,0.000113195,0.000113195,0.000113195
116,1258.05,5.26564,10.0696,5.93928,0.00078,0.01084,0.0036,0.00207,6.02663,9.47249,6.65808,0.000113095,0.000113095,0.000113095
117,1268.84,5.39971,10.0655,5.86007,0.00085,0.01156,0.00431,0.00211,6.01576,9.36765,6.54453,0.000112993,0.000112993,0.000112993
118,1279.22,5.41511,10.3145,5.90745,0.00059,0.01906,0.00346,0.00085,6.00023,9.42097,6.5923,0.000112891,0.000112891,0.000112891
119,1289.38,5.3138,10.1777,5.87292,0.00243,0.0151,0.00402,0.00051,5.97959,9.43281,6.61468,0.000112788,0.000112788,0.000112788
120,1299.44,5.25986,10.1784,5.90163,0.00103,0.01202,0.00338,0.00085,5.92989,9.32869,6.51762,0.000112684,0.000112684,0.000112684
121,1309.66,5.48519,10.1108,5.89212,0.00075,0.01096,0.00319,0.00191,5.96599,9.35999,6.57915,0.00011258,0.00011258,0.00011258
122,1319.74,5.38362,10.3297,5.97222,0.00073,0.00829,0.00179,0.00104,5.95577,9.32276,6.53367,0.000112474,0.000112474,0.000112474
123,1329.78,5.26374,10.1926,5.93328,5e-05,0.0025,5e-05,2e-05,5.93978,9.44304,6.58292,0.000112368,0.000112368,0.000112368
124,1340.36,5.25816,10.1323,5.87544,5e-05,0.00139,4e-05,1e-05,6.38797,9.87112,7.15492,0.000112261,0.000112261,0.000112261
125,1350.77,5.3355,10.0938,5.92744,6e-05,0.00283,4e-05,1e-05,5.98237,9.60283,6.7176,0.000112153,0.000112153,0.000112153
126,1361.18,5.18341,10.0911,5.83928,0.00034,0.01699,0.00315,0.0021,6.02292,9.55075,6.6764,0.000112045,0.000112045,0.000112045
127,1371.61,5.16457,10.1007,5.85404,0.00013,0.02121,0.00349,0.00252,6.04866,9.44207,6.61106,0.000111935,0.000111935,0.000111935
128,1382.54,5.35656,10.1302,5.85749,0.00015,0.02116,0.00334,0.00238,6.07628,9.50513,6.68015,0.000111825,0.000111825,0.000111825
129,1393.39,5.23322,10.3471,5.87649,0.00066,0.01283,0.00428,0.0026,6.05103,9.21016,6.47746,0.000111714,0.000111714,0.000111714
130,1404.3,5.39133,10.1416,5.91024,0.00249,0.00689,0.00483,0.00308,6.05598,9.31006,6.57779,0.000111602,0.000111602,0.000111602
131,1415.44,5.17777,10.2213,5.88731,0.00017,0.00302,0.00061,6e-05,6.04507,9.1468,6.4612,0.000111489,0.000111489,0.000111489
132,1426.32,5.17226,10.1073,5.80372,0.00053,0.00509,0.00114,0.00056,6.00652,9.03146,6.47031,0.000111376,0.000111376,0.000111376
133,1437.1,5.17094,10.2261,5.86929,0.00034,0.01052,0.00114,0.00059,5.98683,8.99692,6.47299,0.000111262,0.000111262,0.000111262
134,1447.74,5.27598,10.0531,5.80725,0.00056,0.01204,0.0032,0.00214,5.9652,9.06607,6.40095,0.000111147,0.000111147,0.000111147
135,1458.42,5.45545,10.0664,5.89296,0.00018,0.01719,0.00301,0.00195,6.01605,9.01989,6.39209,0.000111031,0.000111031,0.000111031
136,1469.09,5.23962,10.1119,5.82389,0.00011,0.02274,0.0034,0.00258,6.05827,9.14268,6.46105,0.000110914,0.000110914,0.000110914
137,1479.87,5.31706,10.1171,5.81623,0.00012,0.02285,0.00332,0.00234,6.03332,9.15571,6.41243,0.000110797,0.000110797,0.000110797
138,1490.63,5.22359,10.1506,5.88041,0.00018,0.01938,0.00351,0.00226,6.01094,9.27183,6.46182,0.000110679,0.000110679,0.000110679
139,1501.55,5.17925,10.0655,5.81411,0.00041,0.01757,0.00296,0.00154,6.02975,9.47695,6.57268,0.00011056,0.00011056,0.00011056
140,1512.62,5.31175,10.0144,5.84237,0.00063,0.01665,0.00377,0.00161,5.98822,9.42484,6.47105,0.00011044,0.00011044,0.00011044
141,1523.44,5.24927,10.0171,5.74796,0.00051,0.01639,0.00348,0.0016,5.991,9.29503,6.38852,0.00011032,0.00011032,0.00011032
142,1533.99,5.20372,9.89239,5.84246,0.00047,0.01554,0.00338,0.0025,5.94903,9.33226,6.46747,0.000110199,0.000110199,0.000110199
143,1544.88,5.14777,10.0232,5.79668,0.00034,0.0171,0.00344,0.0029,5.96521,9.2606,6.46335,0.000110076,0.000110076,0.000110076
144,1555.61,5.32714,10.0963,5.78073,0.0003,0.01676,0.00331,0.00248,5.99093,9.38704,6.56022,0.000109954,0.000109954,0.000109954
145,1566.28,5.46076,10.018,5.83448,0.00039,0.01593,0.00349,0.00253,5.95509,9.38054,6.55404,0.00010983,0.00010983,0.00010983
146,1576.96,5.30958,9.95919,5.75079,0.00018,0.01587,0.0038,0.00266,5.99324,9.16047,6.41922,0.000109706,0.000109706,0.000109706
147,1587.67,5.26098,10.1873,5.74904,0.00012,0.02149,0.00458,0.00282,5.99137,9.1286,6.38788,0.000109581,0.000109581,0.000109581
148,1598.43,5.4724,10.016,5.77505,0.00018,0.02035,0.00462,0.00265,5.93052,9.12208,6.35299,0.000109455,0.000109455,0.000109455
149,1609.2,5.32502,9.93349,5.71726,0.00058,0.00645,0.00416,0.00133,5.95853,9.52669,6.57042,0.000109328,0.000109328,0.000109328
150,1619.69,5.39367,10.0741,5.79215,0.00035,0.01559,0.00432,0.00268,5.93354,9.5182,6.55392,0.000109201,0.000109201,0.000109201
151,1630.39,5.26765,10.026,5.7536,0.00025,0.01695,0.00418,0.00265,5.85915,9.21754,6.32422,0.000109073,0.000109073,0.000109073
152,1641.28,5.18827,10.1142,5.79589,0.0003,0.01723,0.00272,0.00162,5.87829,9.20973,6.29297,0.000108944,0.000108944,0.000108944
153,1652.01,5.25301,10.0139,5.78654,0.00021,0.01801,0.00418,0.00292,5.8695,9.24759,6.30425,0.000108814,0.000108814,0.000108814
154,1662.73,5.20311,10.1013,5.75417,0.00026,0.01907,0.00448,0.00257,5.8926,9.26958,6.32268,0.000108684,0.000108684,0.000108684
155,1673.57,5.15973,10.0328,5.74447,0.00029,0.0162,0.00427,0.00245,5.867,9.26567,6.34097,0.000108553,0.000108553,0.000108553
156,1684.17,5.0575,10.0628,5.71536,0.00012,0.0221,0.00412,0.00284,5.89288,9.24586,6.38276,0.000108421,0.000108421,0.000108421
157,1695.69,5.21387,9.97592,5.75788,0.0001,0.02274,0.00137,0.00099,5.91587,9.2866,6.46502,0.000108288,0.000108288,0.000108288
